"","caseid","startmonth","startday","startyear","endmonth","endday","endyear","ongoingasofmonth","ongoingasofday","ongoingasofyear","sender1","sender2","sender3","sender4","sender5","primarysender","targetstate","institution","institutionid","targetinstitution","otherinstitution","issue1","issue2","issue3","otherissue","threat","threatid1","threatid2","threatid3","sanctiontypethreat","othersanctiontypethreatened","bspecif","scommit","threatenedtargetinterest","dsanctions","carrots","anticipatedtargetcosts","anticipatedtargetcostsfigureifav","tcurrency","tyearofestimate","anticipatedsendercosts","scurrency","syearofestimate","imposition","sancimpositionstartmonth","sancimpositionstartday","sancimpositionstartyear","sanctionidentity","sanctiontype","othersanctiontype","implementationofdiplomaticsancti","carrotsduringsanction","carrotvalue","carrotcurrency","carrotyear","targetcosts","targeteconomiccostsfigure","targeteconomiccostscurrency","targeteconomiccostsyear","sendercosts","sendereconomiccostsfigure","sendereconomiccostscurrency","sendereconomiccostsyear","finaloutcome","settlementnaturesender","settlementnaturetarget","anticipatedtargetcosts_z","targetcosts_z","sendereconomiccostsfigure_z","Severity","senders_combined"
"11",1947090801,9,8,1947,5,31,1949,NA,NA,NA,"Argentina",NA,NA,NA,NA,160,"United Kingdom",0,NA,NA,NA,13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,"8","1947","5","2",NA,NA,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10,8,4,NA,-0.440056398317161,NA,-0.440056398317161,"Argentina"
"12",1947111001,11,10,1947,5,16,1949,NA,NA,NA,"Poland","Russia","Czechoslovakia","Belarus",NA,290,"Spain",1,"4400",0,NA,3,NA,NA,NA,1,6,NA,NA,"3",NA,1,2,"5","4",NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,NA,NA,NA,NA,"Poland,Russia,Czechoslovakia,Belarus"
"13",1947120501,12,5,1947,1,6,1949,NA,NA,NA,"United States of America","United Kingdom","France",NA,NA,2,"Saudi Arabia",1,"4400",1,NA,9,NA,NA,NA,1,8,NA,NA,"3",NA,2,3,"5",NA,NA,1,"2356.44","US dollars",1947,1,"US dollars",1947,1,12,"5","1947","4 6","2","US bans passports issued for Americans to join either Jewish or Arab fighting forces",NA,"0",NA,NA,NA,1,"2356.44","US dollars",1947,1,0,"US dollars",1947,7,8,6,-0.491732492808361,-0.440056398317161,-0.0998924699664536,-0.343893787030659,"United States of America,United Kingdom,France"
"14",1947120502,12,5,1947,1,6,1949,NA,NA,NA,"United States of America","United Kingdom","France",NA,NA,2,"Israel",1,"4400",1,NA,5,2,NA,NA,1,8,NA,NA,"3",NA,2,3,"5",NA,NA,2,NA,NA,NA,1,"US dollars",1947,1,12,"5","1947","4 6","2","US bans passports issued for Americans to join either Jewish or Arab fighting forces",NA,"0",NA,NA,NA,2,NA,NA,NA,1,0,"US dollars",1947,7,8,3,1.51714622188741,1.54396930609564,-0.0998924699664536,0.987074352672198,"United States of America,United Kingdom,France"
"15",1947120503,12,5,1947,1,6,1949,NA,NA,NA,"United States of America","United Kingdom","France",NA,NA,2,"Iraq",1,"4400",1,NA,2,5,NA,NA,1,8,NA,NA,"3",NA,2,3,"5",NA,NA,1,"432","US dollars",1945,1,"US dollars",1947,1,12,"5","1947","4 6","2","US bans passports issued for Americans to join either Jewish or Arab fighting forces",NA,"0",NA,NA,NA,1,"432","US dollars",1945,1,0,"US dollars",1947,7,8,6,-0.491732492808361,-0.440056398317161,-0.0998924699664536,-0.343893787030659,"United States of America,United Kingdom,France"
"16",1947120504,12,5,1947,1,6,1949,NA,NA,NA,"United States of America","United Kingdom","France",NA,NA,2,"Egypt",1,"4400",1,NA,2,5,NA,NA,1,8,NA,NA,"3",NA,2,3,"5",NA,NA,1,"1021","US dollars",1947,1,"US dollars",1947,1,12,"5","1947","4 6","2","US bans passports issued for Americans to join either Jewish or Arab fighting forces",NA,"0",NA,NA,NA,1,"1021","US dollars",1947,1,0,"US dollars",1947,7,8,6,-0.491732492808361,-0.440056398317161,-0.0998924699664536,-0.343893787030659,"United States of America,United Kingdom,France"
"17",1947120505,12,5,1947,1,6,1949,NA,NA,NA,"United States of America","United Kingdom","France",NA,NA,2,"Syria",1,"4400",1,NA,9,NA,NA,NA,1,8,NA,NA,"3",NA,2,3,"5",NA,NA,1,NA,NA,NA,1,"US dollars",1947,1,12,"5","1947","4 6","2","US bans passports issued for Americans to join either Jewish or Arab fighting forces",NA,"0",NA,NA,NA,1,NA,NA,NA,1,0,"US dollars",1947,7,8,6,-0.491732492808361,-0.440056398317161,-0.0998924699664536,-0.343893787030659,"United States of America,United Kingdom,France"
"18",1947120506,12,5,1947,1,6,1949,NA,NA,NA,"United States of America","United Kingdom","France",NA,NA,2,"Lebanon",1,"4400",1,NA,9,NA,NA,NA,1,8,5,NA,"3",NA,2,3,"5",NA,NA,1,"2820","US dollars",1947,1,"US dollars",1947,1,12,"5","1947","4 6","2",NA,NA,"0",NA,NA,NA,1,"2820","US dollars",1947,1,0,"US dollars",1947,7,8,6,-0.491732492808361,-0.440056398317161,-0.0998924699664536,-0.343893787030659,"United States of America,United Kingdom,France"
"19",1947120507,12,5,1947,1,6,1949,NA,NA,NA,"United States of America","United Kingdom","France",NA,NA,2,"Jordan",1,"4400",1,NA,9,NA,NA,NA,1,8,NA,NA,"3",NA,2,3,"5",NA,NA,1,NA,NA,NA,1,"US dollars",1947,1,12,"5","1947","4 6","2","US bans passports issued for Americans to join either Jewish or Arab fighting forces",NA,"0",NA,NA,NA,1,NA,NA,NA,1,0,"US dollars",1947,7,8,6,-0.491732492808361,-0.440056398317161,-0.0998924699664536,-0.343893787030659,"United States of America,United Kingdom,France"
"20",1947122001,12,20,1947,NA,NA,NA,12,11,1949,"United States of America","United Kingdom",NA,NA,NA,2,"Russia",0,NA,NA,NA,6,2,NA,NA,1,2,NA,NA,"6",NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,"1948","5","5",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America,United Kingdom"
"21",1947122301,12,23,1947,NA,NA,NA,3,14,1950,"India",NA,NA,NA,NA,750,"Pakistan",0,NA,NA,NA,5,1,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,"23","1947","5","3",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"India"
"22",1947122302,12,23,1947,NA,NA,NA,3,14,1950,"Pakistan",NA,NA,NA,NA,770,"India",0,NA,NA,NA,5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,"23","1947",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pakistan"
"23",1948012901,1,29,1948,NA,NA,NA,2,5,1948,"Argentina",NA,NA,NA,NA,160,"Italy",0,NA,NA,NA,13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"29","1948","1","2",NA,NA,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-0.440056398317161,NA,-0.440056398317161,"Argentina"
"24",1948012902,1,29,1948,NA,NA,NA,2,5,1948,"Argentina",NA,NA,NA,NA,160,"Mexico",0,NA,NA,NA,13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"29","1948","1","2",NA,NA,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-0.440056398317161,NA,-0.440056398317161,"Argentina"
"25",1948012903,1,29,1948,NA,NA,NA,2,5,1948,"Argentina",NA,NA,NA,NA,160,"Spain",0,NA,NA,NA,13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"29","1948","1","2",NA,NA,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-0.440056398317161,NA,-0.440056398317161,"Argentina"
"26",1948030101,3,1,1948,6,8,1990,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"German Democratic Republic",1,"3700",0,"NATO allies established COCOM",1,6,7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"1","1948","1","4",NA,NA,"0",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,8,8,5,NA,1.54396930609564,NA,1.54396930609564,"United States of America"
"27",1948032501,3,25,1948,5,12,1949,NA,NA,NA,"Russia",NA,NA,NA,NA,365,"United States of America",0,NA,NA,NA,1,14,5,NA,1,5,NA,NA,"6",NA,2,3,"1",NA,NA,3,NA,NA,NA,1,NA,NA,1,6,"24","1948","4","5",NA,NA,"0",NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,8,1,10,3.52602493658318,1.54396930609564,NA,2.53499712133941,"Russia"
"28",1948032502,3,25,1948,5,12,1949,NA,NA,NA,"Russia",NA,NA,NA,NA,365,"United Kingdom",0,NA,NA,NA,1,14,5,NA,1,5,NA,NA,"6",NA,2,3,"1",NA,NA,3,NA,NA,NA,1,NA,NA,1,6,"24","1948","4","5",NA,NA,"0",NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,8,1,10,3.52602493658318,1.54396930609564,NA,2.53499712133941,"Russia"
"29",1948070101,7,1,1948,12,22,1953,NA,NA,NA,"Yugoslavia",NA,NA,NA,NA,345,"Albania",0,NA,NA,NA,13,NA,NA,NA,1,5,NA,NA,"1","Demanding to pay back the aid from Yugoslavia to Albania",2,1,"1",NA,NA,1,"40000000","U.S. Dollars",1948,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,2,-0.491732492808361,NA,NA,-0.491732492808361,"Yugoslavia"
"30",1948070102,7,1,1948,10,1,1954,NA,NA,NA,"Russia","Poland","Hungary","Czechoslovakia","Albania",365,"Yugoslavia",1,NA,0,"Communist Information Bureau (Cominform)",7,13,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,"1","1948","5 6","1 2 5 9",NA,4,"0",NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,8,2,8,NA,1.54396930609564,NA,1.54396930609564,"Russia,Poland,Hungary,Czechoslovakia,Albania"
"31",1948070301,7,3,1948,7,27,1955,NA,NA,NA,"Russia","Hungary","Romania","Czechoslovakia",NA,365,"Yugoslavia",1,NA,1,"Cominform",2,3,1,NA,1,1,NA,NA,"1",NA,1,1,"1 4","1",NA,NA,NA,NA,NA,1,NA,NA,1,7,"3","1948","5","1 5 8",NA,2,"1 2","106750000","US dollars","1953",2,NA,NA,NA,1,NA,NA,NA,8,8,8,NA,1.54396930609564,NA,1.54396930609564,"Russia,Hungary,Romania,Czechoslovakia"
"32",1948122101,12,21,1948,6,23,1949,NA,NA,NA,"United States of America","Australia","Colombia","Syria",NA,2,"Netherlands",1,"4400",1,NA,2,NA,NA,NA,1,6,2,NA,"8","expel from UN",2,2,"1",NA,NA,NA,NA,NA,NA,1,NA,NA,1,12,"21","1948","5","7",NA,NA,"0",NA,NA,NA,2,"14000000","us dollars",1948,1,NA,NA,NA,7,10,5,NA,1.54396930609564,NA,1.54396930609564,"United States of America,Australia,Colombia,Syria"
"33",1949011401,1,14,1949,3,24,1949,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Denmark",0,NA,NA,NA,7,NA,NA,NA,1,1,NA,NA,"8",NA,2,3,"4 5",NA,NA,2,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,8,1.51714622188741,NA,NA,1.51714622188741,"United States of America"
"34",1949011402,1,14,1949,NA,NA,NA,6,1,1970,"United States of America",NA,NA,NA,NA,2,"Sweden",0,NA,NA,NA,7,NA,NA,NA,1,1,NA,NA,"8",NA,2,3,"4 5",NA,NA,2,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,10,1.51714622188741,NA,NA,1.51714622188741,"United States of America"
"35",1949011403,1,14,1949,2,21,1949,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Norway",0,NA,NA,NA,7,NA,NA,NA,1,1,NA,NA,"8",NA,2,3,"4 5",NA,NA,2,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,8,1.51714622188741,NA,NA,1.51714622188741,"United States of America"
"36",1949033001,3,30,1949,11,15,1950,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Spain",0,NA,NA,NA,7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"30","1949","5","7","denial of loan",NA,"0",NA,NA,NA,2,"1275000000","us dollars",1949,1,NA,NA,NA,8,9,6,NA,1.54396930609564,NA,1.54396930609564,"United States of America"
"37",1949049901,4,NA,1949,9,27,1951,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"United Kingdom",0,NA,NA,NA,1,2,5,NA,1,3,2,NA,"8",NA,2,3,"1",NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,8,-0.491732492808361,NA,NA,-0.491732492808361,"United States of America"
"38",1949050101,5,1,1949,6,1,1949,NA,NA,NA,"Switzerland",NA,NA,NA,NA,225,"France",0,NA,NA,NA,13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,"1","1949","5","6",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,10,4,6,NA,NA,NA,NA,"Switzerland"
"39",1949050301,5,3,1949,6,1,1949,NA,NA,NA,"France",NA,NA,NA,NA,220,"Switzerland",0,NA,NA,NA,4,13,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,"3","1949","5","1",NA,NA,"0",NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,10,6,4,NA,1.54396930609564,NA,1.54396930609564,"France"
"40",1949061601,6,16,1949,6,27,1949,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"United Kingdom",0,NA,NA,NA,13,NA,NA,NA,1,4,6,NA,"1",NA,1,3,"3 4",NA,NA,1,NA,NA,NA,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,10,-0.491732492808361,NA,NA,-0.491732492808361,"United States of America"
"41",1949092101,9,21,1949,2,27,1951,NA,NA,NA,"India",NA,NA,NA,NA,750,"Pakistan",0,NA,NA,NA,13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,"21","1949","5","3 4",NA,NA,"0",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,10,6,5,NA,1.54396930609564,NA,1.54396930609564,"India"
"42",1949102601,10,26,1949,NA,NA,NA,9,16,1951,"United States of America","United Kingdom","China","Australia",NA,2,"Albania",1,"4400",0,NA,10,NA,NA,NA,1,6,NA,NA,"3",NA,2,2,"2 5",NA,NA,1,NA,NA,NA,1,NA,NA,1,11,"19","1949","6","2",NA,NA,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.491732492808361,-0.440056398317161,NA,-0.465894445562761,"United States of America,United Kingdom,China,Australia"
"43",1949102602,10,26,1949,NA,NA,NA,9,16,1951,"United States of America","United Kingdom","China","Australia",NA,2,"Bulgaria",1,"4400",0,NA,10,NA,NA,NA,1,6,NA,NA,"3",NA,2,2,"2 5",NA,NA,1,NA,NA,NA,1,NA,NA,1,11,"19","1949","6","2",NA,NA,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.491732492808361,-0.440056398317161,NA,-0.465894445562761,"United States of America,United Kingdom,China,Australia"
"44",1949111201,11,12,1949,12,10,1949,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Sweden",0,NA,NA,NA,15,NA,NA,"The Lack of welcoming U.S. Senate Armed Service (sub)Committee by the Swedes.",1,2,NA,NA,"8",NA,2,3,"1",NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,-0.491732492808361,NA,NA,-0.491732492808361,"United States of America"
"45",1949122401,12,24,1949,2,27,1951,NA,NA,NA,"Pakistan",NA,NA,NA,NA,770,"India",0,NA,NA,NA,13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,"24","1949, sometime before this date.","5","2",NA,NA,"0",NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,10,5,6,NA,1.54396930609564,NA,1.54396930609564,"Pakistan"
"46",1950010301,1,3,1950,4,9,1950,NA,NA,NA,"Dominican Republic",NA,NA,NA,NA,42,"Haiti",1,"3900",1,NA,2,NA,NA,NA,1,6,NA,NA,"1",NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,6,NA,NA,NA,NA,"Dominican Republic"
"47",1950010302,1,3,1950,5,17,1951,NA,NA,NA,"Dominican Republic",NA,NA,NA,NA,42,"Guatemala",1,"3900",1,NA,2,NA,NA,NA,1,8,6,NA,"1",NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,3,NA,NA,NA,NA,"Dominican Republic"
"48",1950010303,1,3,1950,5,17,1951,NA,NA,NA,"Dominican Republic",NA,NA,NA,NA,42,"Cuba",1,"3900",1,NA,2,10,NA,"Refusal of negotiate compensation for a previous invasion attempt",1,8,6,NA,"1",NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,3,NA,NA,NA,NA,"Dominican Republic"
"49",1950010304,1,3,1950,5,17,1951,NA,NA,NA,"Haiti",NA,NA,NA,NA,41,"Dominican Republic",1,"3900",1,NA,2,NA,NA,NA,1,8,6,NA,"1",NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,3,NA,NA,NA,NA,"Haiti"
"50",1950011701,1,17,1950,1,21,1950,NA,NA,NA,"Russia",NA,NA,NA,NA,365,"United States of America",0,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,"20","1950","5","5",NA,NA,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,7,10,1,-0.491732492808361,-0.440056398317161,NA,-0.465894445562761,"Russia"
"51",1950011901,1,19,1950,NA,NA,NA,10,20,1952,"United States of America",NA,NA,NA,NA,2,"Greece",0,NA,NA,NA,14,NA,NA,"Increasing efficiency of government services in general.",1,1,NA,NA,"8",NA,2,3,"1",NA,NA,2,NA,NA,NA,1,NA,NA,1,4,"3","1950","1 5","7",NA,NA,"0",NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1.51714622188741,1.54396930609564,NA,1.53055776399152,"United States of America"
"52",1950020101,2,1,1950,10,11,1950,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"United Kingdom",0,NA,NA,NA,13,NA,NA,NA,1,2,NA,NA,"8",NA,2,3,"1",NA,NA,1,NA,NA,NA,1,NA,NA,1,3,"7","1950","1","7",NA,NA,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10,5,5,-0.491732492808361,-0.440056398317161,NA,-0.465894445562761,"United States of America"
"53",1950022401,2,24,1950,3,30,1960,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Romania",0,NA,NA,NA,4,8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"24","1950","4","2 6",NA,NA,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10,5,5,NA,-0.440056398317161,NA,-0.440056398317161,"United States of America"
"54",1950022402,2,24,1950,3,6,1973,NA,NA,NA,"United States of America",NA,NA,NA,NA,2,"Hungary",0,NA,NA,NA,4,8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"24","1950","4","2 6",NA,NA,"0",NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10,5,5,NA,-0.440056398317161,NA,-0.440056398317161,"United States of America"
